title,congress_id,first_name,last_name,chamber,district,state,party,facebook_url,twitter_handle,member_level,signed_letter_count,voted_with_bma_count,legislation
Sen. Mark Warner,W000805,Mark,Warner,sen,,VA,D,https://www.facebook.com/MarkRWarner/,@MarkWarner,supporter,,,
Sen. Roger Wicker,W000437,Roger,Wicker,sen,,MS,R,https://www.facebook.com/wicker/,@SenatorWicker,supporter,,,
Sen. Todd Young,Y000064,Todd,Young,sen,,IN,R,https://www.facebook.com/SenatorToddYoung/,@SenToddYoung,supporter,,,
Rep. Ralph Abraham,A000374,Ralph,Abraham,rep,5,LA,R,https://www.facebook.com/CongressmanRalphAbraham/,@RepAbraham,supporter,,,
Rep. Alma Adams,A000370,Alma,Adams,rep,12,NC,D,https://www.facebook.com/AlmaAdamsforCongress/,@AlmaforCongress,supporter,,,
Rep. Robert Aderholt,A000055,Robert,Aderholt,rep,4,AL,R,https://www.facebook.com/RobertAderholt/,@Robert_Aderholt,supporter,,,
Rep. Pete Aguilar,A000371,Pete,Aguilar,rep,31,CA,D,https://www.facebook.com/reppeteaguilar/,@RepPeteAguilar,supporter,,,
Rep. Rick Allen,A000372,Rick,Allen,rep,12,GA,R,https://www.facebook.com/CongressmanRickAllen/,@RepRickAllen,supporter,,,
Rep. Colin Allred,A000376,Colin,Allred,rep,32,TX,D,https://www.facebook.com/ColinAllredTX/,@ColinAllredTX,supporter,,,
Rep. Kelly Armstrong,A000377,Kelly,Armstrong,rep,1,ND,R,https://www.facebook.com/RepArmstrongND/,@RepArmstrongND,supporter,,,
Rep. Jodey Arrington,A000375,Jodey,Arrington,rep,19,TX,R,https://www.facebook.com/JodeyArrington/,@RepArrington,supporter,,,
Rep. Cindy Axne,A000378,Cindy,Axne,rep,3,IA,D,https://www.facebook.com/RepCindyAxne/,@RepCindyAxne,supporter,,,
Rep. Brian Babin,B001291,Brian,Babin,rep,36,TX,R,https://www.facebook.com/RepBrianBabin/,@RepBrianBabin,supporter,,,
Rep. Jim Baird,B001307,Jim,Baird,rep,4,IN,R,https://www.facebook.com/RepJimBaird,@RepJimBaird,supporter,,,
